industryCode,industryName,industryType,industryLevel,indexCode
330102,空调,INDUS4CL,3,851112
330106,冰洗,INDUS4CL,3,851116
330200,黑色家电,INDUS4CL,2,801112
330201,彩电,INDUS4CL,3,851121
330202,其他黑色家电,INDUS4CL,3,851122
330300,小家电,INDUS4CL,2,801113
330301,厨房小家电,INDUS4CL,3,851131
330302,清洁小家电,INDUS4CL,3,851132
330303,个护小家电,INDUS4CL,3,851133
330400,厨卫电器,INDUS4CL,2,801114
330401,厨房电器,INDUS4CL,3,851141
330402,卫浴电器,INDUS4CL,3,851142
330500,照明设备Ⅱ,INDUS4CL,2,801115
330501,照明设备Ⅲ,INDUS4CL,3,851151
330600,家电零部件Ⅱ,INDUS4CL,2,801116
330601,家电零部件Ⅲ,INDUS4CL,3,851161
330700,其他家电Ⅱ,INDUS4CL,2,801117
330701,其他家电Ⅲ,INDUS4CL,3,851171
340000,食品饮料,INDUS4CL,1,801120
340400,食品加工,INDUS4CL,2,801124
340401,肉制品,INDUS4CL,3,851241
340404,其他食品,INDUS4CL,3,851244
340406,预加工食品,INDUS4CL,3,851246
340407,保健品,INDUS4CL,3,851247
340500,白酒Ⅱ,INDUS4CL,2,801125
340501,白酒Ⅲ,INDUS4CL,3,851251
340600,非白酒,INDUS4CL,2,801126
340601,啤酒,INDUS4CL,3,851232
340602,其他酒类,INDUS4CL,3,851233
340700,饮料乳品,INDUS4CL,2,801127
340701,软饮料,INDUS4CL,3,851271
340702,乳品,INDUS4CL,3,851243
340800,休闲食品,INDUS4CL,2,801128
340801,零食,INDUS4CL,3,851281
340802,烘焙食品,INDUS4CL,3,851282
340803,熟食,INDUS4CL,3,851283
340900,调味发酵品Ⅱ,INDUS4CL,2,801129
340901,调味发酵品Ⅲ,INDUS4CL,3,851242
350000,纺织服饰,INDUS4CL,1,801130
350100,纺织制造,INDUS4CL,2,801131
350102,棉纺,INDUS4CL,3,851312
350104,印染,INDUS4CL,3,851314
350105,辅料,INDUS4CL,3,851315
350106,其他纺织,INDUS4CL,3,851316
350107,纺织鞋类制造,INDUS4CL,3,851317
350200,服装家纺,INDUS4CL,2,801132
350205,鞋帽及其他,INDUS4CL,3,851325
350206,家纺,INDUS4CL,3,851326
350208,运动服装,INDUS4CL,3,851328
350209,非运动服装,INDUS4CL,3,851329
350300,饰品,INDUS4CL,2,801133
350301,钟表珠宝,INDUS4CL,3,851331
350302,多品类奢侈品,INDUS4CL,3,851332
350303,其他饰品,INDUS4CL,3,851333
360000,轻工制造,INDUS4CL,1,801140
360100,造纸,INDUS4CL,2,801143
360102,大宗用纸,INDUS4CL,3,851412
360103,特种纸,INDUS4CL,3,851413
360200,包装印刷,INDUS4CL,2,801141
360202,印刷,INDUS4CL,3,851422
360203,金属包装,INDUS4CL,3,851423
360204,塑料包装,INDUS4CL,3,851424
360205,纸包装,INDUS4CL,3,851425
360206,综合包装,INDUS4CL,3,851426
360300,家居用品,INDUS4CL,2,801142
360306,瓷砖地板,INDUS4CL,3,851436
360307,成品家居,INDUS4CL,3,851437
360308,定制家居,INDUS4CL,3,851438
360309,卫浴制品,INDUS4CL,3,851439
360311,其他家居用品,INDUS4CL,3,851491
360500,文娱用品,INDUS4CL,2,801145
360501,文化用品,INDUS4CL,3,851451
360502,娱乐用品,INDUS4CL,3,851452
370000,医药生物,INDUS4CL,1,801150
370100,化学制药,INDUS4CL,2,801151
370101,原料药,INDUS4CL,3,851511
370102,化学制剂,INDUS4CL,3,851512
